#a	+Noun
#a.	+Noun
alem	+Noun
alemdar	+Noun
alengir	+Noun
aleniyet	+Noun
alerjen	+Noun
alerji	+Noun
alet	+Noun
alev	+Noun
alevi	+Noun
aleyh	+Noun
aleykümselam	+Noun
alez	+Noun
alfa	+Noun
alfabe	+Noun
alfenit	+Noun+CV
algarina	+Noun
algı	+Noun
algılanabilirlik	+Noun+CV
algınlık	+Noun+CV
algler	+Noun
algoritma	+Noun
alıç	+Noun+CV
alım	+Noun
alın	+Noun+VD
alındı	+Noun
alınkara	+Noun+P3
alınter	+Noun+P3
alıntı	+Noun
alınyazı	+Noun+P3
alırlık	+Noun+CV
alışkı	+Noun
alıştırma	+Noun
alışveriş	+Noun
alicengiz	+Noun
alim	+Noun
alimallah	+Noun
alinazik	+Noun+CV
aliterasyon	+Noun
alizarin	+Noun
alize	+Noun
alkali	+Noun
alkalimetre	+Noun
alkaloit	+Noun+CV
alkalölçer	+Noun
alkarna	+Noun
alkım	+Noun
alkış	+Noun
alkil	+Noun
alkol	+Noun+VF
alkolizm	+Noun
alkolölçer	+Noun
allah	+Noun
allahaısmarladık	+Noun+CV
allegretto	+Noun
allegro	+Noun
allem	+Noun
allık	+Noun+CV
##alma	+Noun
almaç	+Noun+CV
alman	+Noun
almanak	+Noun+CV
almangümüş	+Noun+P3
almaş	+Noun
alnaç	+Noun+CV
alo	+Noun
aloe	+Noun
alofon	+Noun
alometri	+Noun
alotropi	+Noun
alp	+Noun+VF
alpaka	+Noun
alpaks	+Noun
alpyıldız	+Noun+P3
alşimi	+Noun
alşimist	+Noun
alt	+Noun
altadres	+Noun
altanlam	+Noun
altbant	+Noun
altbaşlık	+Noun+CV
altbelirten	+Noun
altbilgi	+Noun
altbilinç	+Noun+CV
altbirim	+Noun
altbölüm	+Noun
altcins	+Noun
altçene	+Noun
altçerçeve	+Noun
altçizge	+Noun
altçizgi	+Noun
altdamak	+Noun+CV
altderi	+Noun
altdizey	+Noun
altdizge	+Noun
altdizi	+Noun
altdizin	+Noun
altdudak	+Noun+CV
alternatif	+Noun
alternatör	+Noun
altes	+Noun
altfamilya	+Noun
altgeçit	+Noun+CV
altharmonik	+Noun+CV
altıgen	+Noun
altık	+Noun+CV
altın	+Noun
altınbaş	+Noun
altınkök	+Noun+P3
altınoluk	+Noun+CV
altınöz	+Noun+P3
altınsu	+Noun+P3+SU
altıntop	+Noun
altıparmak	+Noun+CV
altıpatlar	+Noun
altız	+Noun
altimetre	+Noun
altkanal	+Noun
altkarşıt	+Noun
altkesim	+Noun
altkıta	+Noun
altkiracı	+Noun
altkomisyon	+Noun
altkurul	+Noun
altkültür	+Noun
altküme	+Noun
altmatris	+Noun
altmenü	+Noun
altmetin	+Noun
alto	+Noun
altörneklem	+Noun
altprogram	+Noun
altsınıf	+Noun
altsimge	+Noun
altsistem	+Noun
altşube	+Noun
alttakım	+Noun
alttoplam	+Noun
alttür	+Noun
altuzay	+Noun
altyapı	+Noun
altyazı	+Noun
altyordam	+Noun
alümin	+Noun
alüminyum	+Noun
alüvyon	+Noun
alyans	+Noun
alyuvar	+Noun
alzheimer	+Noun
am	+Noun
ama	+Noun
amaç	+Noun+CV
#amal	+Noun+VF
amalgam	+Noun
amazon	+Noun
ambalaj	+Noun
ambalajcı	+Noun
ambar	+Noun
ambargo	+Noun
amber	+Noun
amberağaç	+Noun+P3+CV
amberbalık	+Noun+P3+CV
amberbaris	+Noun
amberbu	+Noun
amberçiçek	+Noun+P3+CV
ambiyans	+Noun
amblem	+Noun
ambulans	+Noun
ambülans	+Noun
amca	+Noun
amcamlar	+Noun+PL+P1
amcanlar	+Noun+PL+P2
amcaoğul	+Noun+P3+VD
amcazade	+Noun
amel	+Noun
amele	+Noun
ameliyat	+Noun
ameliyathane	+Noun
ameliye	+Noun
amenna	+Noun
amentü	+Noun
amer	+Noun
#amerikaarmudu	+Noun
amerikaarmut	+Noun+P3+CV
amerikabadem	+Noun+P3
amerikaelma	+Noun+P3
amerikan	+Noun
amerikanbez	+Noun+P3
amerikapire	+Noun+P3
amerikatavşan	+Noun+P3
amerikaüzüm	+Noun+P3
amerikyum	+Noun
amerisyum	+Noun
#ametal	+Noun+VF
ametist	+Noun
amfetamin	+Noun
amfi	+Noun
amfibi	+Noun
amfibol	+Noun+VF
amfibyumlar	+Noun+PL
amfiteatr	+Noun
amfizem	+Noun
amfor	+Noun
amfora	+Noun
amigo	+Noun
amil	+Noun
amilaz	+Noun
amiloid	+Noun
amin	+Noun
aminoasit	+Noun
amip	+Noun+CV
amir	+Noun
amiral	+Noun+VF
amit	+Noun+CV
amitoz	+Noun
amme	+Noun
ammonoit	+Noun+CV
amnezi	+Noun
amnios	+Noun
amniyosentez	+Noun
amok	+Noun+CV
amonyak	+Noun+CV
amonyum	+Noun
amoralizm	+Noun
amorti	+Noun
amortisman	+Noun
amortisör	+Noun
amper	+Noun
ampermetre	+Noun
amperölçer	+Noun
ampersaat	+Noun+VF
ampir	+Noun
ampirisizm	+Noun
ampirist	+Noun
ampirizm	+Noun
amplifikasyon	+Noun
amplifikatör	+Noun
ampul	+Noun+VF
ampütasyon	+Noun
amut	+Noun+CV
amyant	+Noun
an	+Noun
ana	+Noun
anaarı	+Noun
anababa	+Noun
anabilgisayar	+Noun
anabilim	+Noun
anabolizma	+Noun
anacadde	+Noun
anaçatı	+Noun
anaçerçeve	+Noun
anadeniz	+Noun
anadenizbilim	+Noun
anadil	+Noun
anadoluhisar	+Noun+P3
anadut	+Noun
anadüşünce	+Noun
anaerki	+Noun
#anafikir	+Noun+VD
anafor	+Noun
anaforcu	+Noun
anaforculuk	+Noun+CV
anagram	+Noun
anahaber	+Noun
##anahat	+Noun+CD
anahtar	+Noun
anakara	+Noun
anakent	+Noun
anakonda	+Noun
anakronizm	+Noun
analık	+Noun+CV
analist	+Noun
analiz	+Noun
analizör	+Noun
analjezi	+Noun
analjezik	+Noun+CV
analog	+Noun
analoji	+Noun
anamal	+Noun
anamuhalefet	+Noun
ananas	+Noun
ananasgiller	+Noun+PL
anane	+Noun
anaokul	+Noun+P3
anaortaklık	+Noun+CV
anapara	+Noun
anaplan	+Noun
anarşi	+Noun
anarşist	+Noun
anarşizm	+Noun
anartri	+Noun
anasaat	+Noun+VF
anasav	+Noun
anasayfa	+Noun
anasınıf	+Noun+P3
anasır	+Noun+PL
anasistem	+Noun
anason	+Noun
anasözleşme	+Noun
anatomi	+Noun
anatomist	+Noun
anatüzük	+Noun+CV
anavatan	+Noun
anayasa	+Noun
anayol	+Noun
anayön	+Noun
anayurt	+Noun+CV
ançuez	+Noun
ançüez	+Noun
andaç	+Noun+CV
andaval	+Noun
andezin	+Noun
andezit	+Noun
andıç	+Noun+CV
andık	+Noun+CV
andırı	+Noun
andız	+Noun
andızot	+Noun+P3
andlaşma	+Noun
android	+Noun
androit	+Noun+CV
androjen	+Noun
androjeni	+Noun
andropoz	+Noun
anekdot	+Noun
anektot	+Noun
anele	+Noun
anemi	+Noun
anemometre	+Noun
anemon	+Noun
aneroit	+Noun+CV
anestetik	+Noun+CV
anestezi	+Noun
anestezist	+Noun
anevrizma	+Noun
anfi	+Noun
angajman	+Noun
angarya	+Noun
angaryacı	+Noun
angı	+Noun
angıç	+Noun+CV
angora	+Noun
angstrom	+Noun
angut	+Noun+CV
anhidrit	+Noun
anı	+Noun
anıt	+Noun
anıtkabir	+Noun
anıtmezar	+Noun
anız	+Noun
anilin	+Noun
animasyon	+Noun
animatör	+Noun
animizm	+Noun
anjin	+Noun
anjio	+Noun
anjiyografi	+Noun
anjiyoplasti	+Noun
anjiyosperm	+Noun
ankastre	+Noun
ankesör	+Noun
anket	+Noun
anketör	+Noun
ankiloz	+Noun
anksiyete	+Noun
anlak	+Noun+CV
anlam	+Noun
anlambilim	+Noun
anlaşma	+Noun
anlatı	+Noun
anlatım	+Noun
anlatımbilim	+Noun
anlayış	+Noun
anlık	+Noun+CV
anlıkçılık	+Noun+CV
anmalık	+Noun+CV
anne	+Noun
anneanne	+Noun
anneannemler	+Noun+PL+P1
anneannenler	+Noun+PL+P2
annemler	+Noun+PL+P1
annenler	+Noun+PL+P2
anofel	+Noun
anomali	+Noun
anonim	+Noun
anons	+Noun
anorak	+Noun+CV
anoreksi	+Noun
anoreksiya	+Noun
anot	+Noun+CV
ansefal	+Noun
ansefalit	+Noun
ansiklopedi	+Noun
ant	+Noun+CV
antant	+Noun
anten	+Noun
antepfıstık	+Noun+P3+CV
anterit	+Noun
antet	+Noun
antibiyotik	+Noun+CV
antidepresan	+Noun
antifriz	+Noun
antigen	+Noun
antihistamin	+Noun
antijen	+Noun
antika	+Noun
antikacı	+Noun
antikatot	+Noun
antikçağ	+Noun
antikiklon	+Noun
antikite	+Noun
antikoagülan	+Noun
antikor	+Noun
antilop	+Noun
antimadde	+Noun
antimon	+Noun
antinomi	+Noun
antiparantez	+Noun
antipati	+Noun
antisemitizm	+Noun
antisepsi	+Noun
antiserum	+Noun
antisiklon	+Noun
antitez	+Noun
antitoksin	+Noun
antlaşma	+Noun
antolog	+Noun
antoloji	+Noun
antraks	+Noun
antrakt	+Noun
antrasit	+Noun
antre	+Noun
antrenman	+Noun
antrenör	+Noun
antrepo	+Noun
antrepolog	+Noun
antrok	+Noun+CV
antropolog	+Noun
antropoloji	+Noun
antropomorfizm	+Noun
anüs	+Noun
anyon	+Noun
anzak	+Noun+CV
anzarot	+Noun
aort	+Noun
apaçi	+Noun
apandis	+Noun
apandisit	+Noun
aparat	+Noun
apartheid	+Noun
apartman	+Noun
apaş	+Noun
apati	+Noun
apatit	+Noun
apaz	+Noun
apel	+Noun
aperatif	+Noun
aperitif	+Noun
apış	+Noun
apiko	+Noun
aplik	+Noun+CV
aplikasyon	+Noun
aplikatör	+Noun
apolet	+Noun
aport	+Noun
aposteriori	+Noun
appasionato	+Noun
apraksi	+Noun
apre	+Noun
apron	+Noun
#aps	+Noun
apse	+Noun
apsent	+Noun
apsis	+Noun
apteriks	+Noun
aptes	+Noun
aptesbozan	+Noun
aptesbozanot	+Noun+P3
apteshane	+Noun
apukurya	+Noun
ar	+Noun
ara	+Noun
araba	+Noun
arabacı	+Noun
arabağ	+Noun
arabağlantı	+Noun
araban	+Noun
arabellek	+Noun+CV
arabesk	+Noun
arabirim	+Noun
arabistandefne	+Noun+P3
aracı	+Noun
aracılık	+Noun+CV
aracümle	+Noun
araç	+Noun+CV
aradenetim	+Noun
aradeniz	+Noun
araeder	+Noun
araf	+Noun
aragonit	+Noun
arak	+Noun+CV
araka	+Noun
arakesit	+Noun
arakıye	+Noun
arakonakçı	+Noun
aralık	+Noun+CV
araltı	+Noun
aranağme	+Noun
aranjman	+Noun
arap	+Noun+CV
arapsabun	+Noun+P3
arapsaç	+Noun+P3
#arapsaçı	+Noun
arapsu	+Noun+P3+SU
arapzamk	+Noun+P3
ararot	+Noun
arasöz	+Noun
arasta	+Noun
araşit	+Noun+CV
##araştırma	+Noun
araştırmacı	+Noun
aratümce	+Noun
araürün	+Noun
arayol	+Noun
arayön	+Noun
arayüz	+Noun
araz	+Noun+PL
arazbar	+Noun
arazi	+Noun
arazöz	+Noun
arbede	+Noun
arbitraj	+Noun
arbitrajcı	+Noun
arboretum	+Noun
arda	+Noun
ardanuç	+Noun+CV
ardıç	+Noun+CV
ardıçkuş	+Noun+P3
ardıl	+Noun
ardışım	+Noun
ardindirim	+Noun
ardişlemci	+Noun
ardiye	+Noun
arduvaz	+Noun
arefe	+Noun
arena	+Noun
areometre	+Noun
argaç	+Noun+CV
argalı	+Noun
arge	+Noun
argın	+Noun
argıt	+Noun+CV
argo	+Noun
argon	+Noun
argonot	+Noun
argüman	+Noun
arı	+Noun
arıbey	+Noun+P3
arıfiyat	+Noun
arık	+Noun+CV
arıkçı	+Noun
arıkil	+Noun
arıkovan	+Noun+P3
arıkuş	+Noun+P3
arıkuşugiller	+Noun+PL
arısüt	+Noun+P3
arış	+Noun
arıtım	+Noun
arıtımev	+Noun+P3
arıza	+Noun
arife	+Noun
aristocu	+Noun
aristoculuk	+Noun+CV
aristokrasi	+Noun
aristokrat	+Noun
aristotelesçi	+Noun
aristotelesçilik	+Noun+CV
aritmetik	+Noun+CV
aritmi	+Noun
ariya	+Noun
ark	+Noun
arka	+Noun
arkabölge	+Noun
arkaç	+Noun+CV
arkadaş	+Noun
arkadaşlık	+Noun+CV
arkaizm	+Noun
arkaplan	+Noun
arkebüz	+Noun
arkeen	+Noun
arkegon	+Noun
arkeolog	+Noun
arkeoloji	+Noun
arkeopteriks	+Noun
arkoz	+Noun
arma	+Noun
armada	+Noun
armadillo	+Noun
armador	+Noun
armadura	+Noun
armağan	+Noun
armatör	+Noun
armatur	+Noun
armatür	+Noun
armoni	+Noun
armonika	+Noun
armonyum	+Noun
armudiye	+Noun
armut	+Noun+CV
armutçu	+Noun
armutkabak	+Noun+P3+CV
armuttop	+Noun
armuz	+Noun
arnavut	+Noun
arnavutbiber	+Noun+P3
arnavutciğer	+Noun+P3
arnavutkaldırım	+Noun+P3
arnika	+Noun
aroma	+Noun
aromaterapi	+Noun
aromaterapist	+Noun
arozöz	+Noun
arp	+Noun
arpa	+Noun
arpacı	+Noun
arpacık	+Noun+CV
arpalama	+Noun
arpasu	+Noun+P3+SU
arpej	+Noun
arsa	+Noun
arsenik	+Noun+CV
arslan	+Noun
arş	+Noun
arşe	+Noun
arşın	+Noun
arşidük	+Noun
arşiv	+Noun
arşivci	+Noun
art	+Noun+CV
artadım	+Noun
artağan	+Noun
artavurt	+Noun+CV
artbilgi	+Noun
artdamak	+Noun+CV
arter	+Noun
arterit	+Noun
artezyen	+Noun
artgönderim	+Noun
artı	+Noun
artık	+Noun+CV
artıkdeğer	+Noun
artıkemek	+Noun+CV
artıkgün	+Noun
artıkyıl	+Noun
artım	+Noun
artırım	+Noun
artıuç	+Noun+CV
artist	+Noun
artkafa	+Noun
artoda	+Noun
artrit	+Noun
artsüre	+Noun
arttırım	+Noun
aruz	+Noun
arya	+Noun
aryoso	+Noun
arz	+Noun
arzu	+Noun
arzuhal	+Noun+VF
arzuhalci	+Noun
arzuhalcilik	+Noun+CV
as	+Noun
asa	+Noun
asabiye	+Noun
asabiyet	+Noun
asalak	+Noun+CV
asalakbilim	+Noun
asalet	+Noun
asamble	+Noun
asansör	+Noun
asap	+Noun+CV
asar	+Noun+PL
asayiş	+Noun
asbaşkan	+Noun
asbest	+Noun
asbestos	+Noun
aselbent	+Noun+CV
asemptot	+Noun
asepsi	+Noun
ases	+Noun
asesbaş	+Noun+P3
asetaldehit	+Noun
asetat	+Noun
asetikolin	+Noun
asetil	+Noun
asetilat	+Noun
asetilen	+Noun
asetilkolin	+Noun
aseton	+Noun
asfalt	+Noun
ashap	+Noun
ası	+Noun
##asıl	+Noun+VD
asılmışadam	+Noun
asıltı	+Noun
asılzade	+Noun
asıntı	+Noun
asır	+Noun+VD
asi	+Noun
aside	+Noun
asidimetre	+Noun
asidoz	+Noun
asilzade	+Noun
asimetri	+Noun
asimilasyon	+Noun
asimptot	+Noun
asist	+Noun
asistan	+Noun
asit	+Noun+CV
asitölçer	+Noun
askarit	+Noun
askat	+Noun
asker	+Noun
askeriye	+Noun
askerlik	+Noun+CV
askı	+Noun
askılık	+Noun+CV
askıntı	+Noun
asklı	+Noun
askospor	+Noun
aslan	+Noun
aslanağız	+Noun+P3+VD
aslangiller	+Noun+PL
aslankuyruk	+Noun+P3+CV
aslanpençe	+Noun+P3
asma	+Noun
asmabahçe	+Noun
asmabit	+Noun+P3
asmagiller	+Noun+PL
asmakabak	+Noun+P3+CV
asmakat	+Noun
asmolen	+Noun
asparagas	+Noun
aspartam	+Noun
aspidistra	+Noun
aspiratör	+Noun
aspirin	+Noun
aspur	+Noun
assolist	+Noun
astar	+Noun
astasım	+Noun
astat	+Noun
astatin	+Noun
astbaşkan	+Noun
astçözüm	+Noun
asteğmen	+Noun
asteriks	+Noun
asteroit	+Noun+CV
astım	+Noun
astigmat	+Noun
astigmatizm	+Noun
astkat	+Noun
astlimit	+Noun
astragan	+Noun
astrofizik	+Noun+CV
astrofizikçi	+Noun
astrolog	+Noun
astroloji	+Noun
astronom	+Noun
astronomi	+Noun
astronot	+Noun
astsubay	+Noun
astyön	+Noun
asuman	+Noun
asurca	+Noun
aş	+Noun
aşağı	+Noun
aşama	+Noun
aşar	+Noun+PL
aşcıbaş	+Noun+P3
aşçı	+Noun
aşçıbaş	+Noun+P3
aşev	+Noun+P3
aşhane	+Noun
aşı	+Noun
aşıboya	+Noun+P3
aşık	+Noun+CV
aşıktaş	+Noun
aşım	+Noun
aşıramento	+Noun
aşırıbellem	+Noun
aşırıbesi	+Noun
aşırıdoyma	+Noun
aşırıduyu	+Noun
aşırıergime	+Noun
aşırmacılık	+Noun+CV
aşırmasyon	+Noun
aşırtı	+Noun
aşıt	+Noun
aşıtaş	+Noun+P3
aşifte	+Noun
aşiret	+Noun
aşk	+Noun
aşkolsun	+Noun
aşna	+Noun
aşoz	+Noun
aşure	+Noun
