18	AIDS	Edinilmiş bağışıklık yetersizliği belirtisi (Acquired immune deficiency syndrome)
19	AİHM	Avrupa İnsan Hakları Mahkemesi
20	AİHS	Avrupa İnsan Hakları Sözleşmesi
21	AK	Avrupa Konseyi
22	AKBİL	Akıllı bilet
23	AKDTYK	Atatürk Kültür, Dil ve Tarih Yüksek Kurumu
24	AKM	Atatürk Kültür Merkezi
25	AKPM	Avrupa Konseyi Parlamenterler Meclisi
26	AKUT	Arama Kurtarma Teşkilatı
27	Alb.	Albay
28	Alm.	Almanca
29	anat.	Anatomi
30	ant.	Antropoloji
31	AO	Anonim ortaklık
32	AOÇ	Atatürk Orman Çiftliği
33	AÖF	Açıköğretim Fakültesi
34	AP	ABD Haber Ajansı (Associated Press)
35	APS	Acele Posta Servisi
36	Apt.	Apartman, apartmanı
37	Ar.	Arapça
38	ARGE	Araştırma geliştirme
39	Arş. Gör.	Araştırma Görevlisi
40	ark.	Arkeoloji
41	As.	Asker, askerî, askerlik
42	Asb.	Astsubay
43	ASELSAN	Askerî Elektronik Sanayii
44	As. İz.	Askerî İnzibat
45	ASKİ	Ankara Su ve Kanalizasyon İdaresi
46	ASO	Ankara Sanayi Odası
47	AST	Ankara Sanat Tiyatrosu
48	astr.	Astronomi
49	astrol.	Astroloji
50	AŞ	Anonim şirket
51	AŞTİ	Ankara Şehirler Arası Terminal İşletmesi
52	AT	Avrupa Topluluğu
53	Atğm.	Asteğmen
54	atm.	Atmosfer
55	ATO	Ankara Ticaret Odası
56	AÜ	Anadolu Üniversitesi, Ankara Üniversitesi, Atatürk Üniversitesi
57	Av.	Avukat
58	B	Batı, bay
59	BAE	Birleşik Arap Emirlikleri
60	bağ.	Bağlaç
61	BAĞ-KUR	Esnaf ve Sanatkârlar ve Diğer Bağımsız Çalışanlar Sosyal Sigortalar Kurumu
62	BBC	İngiliz Radyo Televizyon Kurumu (British Broadcasting Corporation)
63	BCG	Verem aşısı (Bacillus Calmette Guèrin)
64	Bçvş.	Başçavuş
65	BDDK	Bankacılık Düzenleme ve Denetleme Kurulu
66	BDT	Bağımsız Devletler Topluluğu
67	BE	Büyükelçi
68	belgeç	Belgegeçer (faks)
69	bitb.	Bitki bilimi
70	biy.	Biyoloji
71	bk.	Bakınız
72	Bl.	Bölük
73	bl.	Bilişim
74	BM	Birleşmiş Milletler
75	Bn.	Bayan
76	Bnb.	Binbaşı
77	bot.	Botanik
78	BOTAŞ	Boru Hatları ile Petrol Taşıma Anonim Şirketi
79	Böl.	Bölüm
80	bs.	Baskı, basım
81	Bşk.	Başkan, başkanlık, başkanı, başkanlığı
82	BUE	Avrupa Birliği Bankası (Bank of Union European)
83	Bul.	Bulvar, bulvarı
84	Bulg.	Bulgarca
85	BÜ	Boğaziçi Üniversitesi
86	C	Cilt
87	Cad.	Cadde, caddesi
88	CAEC	Avrupa Konseyi Parlamenter Meclisi (Consultative Assembly of European Council)
89	cal	Kalori
90	CAO	Uluslararası Sivil Havacılık Örgütü (Civil Aviation Organization)
91	CC	Konsolosluk birimi (Corps Consulaire)
92	CD	Kordiplomatik (Corps Diplomatique)
93	CDH	Avrupa İnsan Hakları Adalet Divanı (Cour Europeenne des Droits de l’Homme)
94	CE	Avrupa Konseyi (Council of Europe)
95	CENTO	Merkezî Antlaşma Örgütü (Central Treaty Organization)
96	CIA	ABD Merkezî Haber Alma Teşkilatı (Central Intelligence Agency)
97	CIF	Maliyet-sigorta-navlun (cost, insurance, freight)
98	CIOS	Uluslararası Bilimsel Organizasyon Konseyi (Conseil International pour l’Organisation Scientifique)
99	CIP	Taşıma ve sigorta bedeli ödenmiş olarak teslim
100	CIP	Ticaretle uğraşan önemli kişiler (Commercially Important Person)
101	cm	Santimetre
102	CMUK	Ceza Muhakemeleri Usulü Kanunu
103	CNRS	Ulusal Bilimsel Araştırma Merkezi (Centre National de la Recherche Scientifique)
104	coğ.	Coğrafya
105	COMECON	Doğu Bloku Ülkeleri Karşılıklı Ekonomik Yardım Konseyi (Council for Mutual Economic Asistance)
106	cos	Kosinüs
107	CSO	Cumhurbaşkanlığı Senfoni Orkestrası
108	Cum. Bşk.	Cumhurbaşkanı, Cumhurbaşkanlığı
109	CÜ	Cumhuriyet Üniversitesi
110	ÇAYKUR	Çay İşletmeleri Genel Müdürlüğü
111	çev.	Çeviren
112	ÇS	Çimento Sanayisi
113	ÇUKOBİRLİK	Çukurova Pamuk Tarım Satış Kooperatifleri Birliği
114	ÇÜ	Çankaya Üniversitesi, Çukurova Üniversitesi
115	Çvş.	Çavuş
116	D	Doğu
117	dal	Dekalitre
118	dam	Dekametre
119	DAP	Doğu Anadolu Projesi
120	db.	Dil bilimi
121	dbl.	Dil bilgisi
122	DDT	Böcek öldü¬rücü (Dichloro-diphenol-trichloro-ethane)
123	DDY	Devlet Deniz Yolları
124	DEÜ	Dokuz Eylül Üniversitesi
125	dg	Desigram
126	DGM	Devlet Güvenlik Mahkemesi
127	DGS	Dikey geçiş sınavı
128	DHMİ	Devlet Hava Meydanları İşletmesi
129	DİE	Devlet İstatistik Enstitüsü
130	dk.	Dakika
131	dl	Desilitre
132	DLH	Demiryolları Limanlar Hava Meydanları İnşaatı (Genel Müdürlüğü)
133	dm	Desimetre
134	DMO	Devlet Malzeme Ofisi
135	DNA	Deoksirübo nükleik asit
136	Doç.	Doçent
137	doğ.	Doğum tarihi
138	DPT	Devlet Planlama Teşkilatı
139	Dr.	Doktor
140	drl.	Derleyen
141	DSİ	Devlet Su İşleri
142	DSÖ	Dünya Sağlık Örgütü (World Health Organization)
143	DT	Devlet Tiyatroları
144	DTCF	Dil ve Tarih-Coğrafya Fakültesi
145	DTÖ	Dünya Ticaret Örgütü (World Trade Organization)
146	DÜ	Dicle Üniversitesi
147	Dz. Kuv.	Deniz Kuvvetleri
148	Dz. Kuv. K.	Deniz Kuvvetleri Komutanı, Komutanlığı
149	dzl.	Düzenleyen
150	e.	Edat
151	EAC	Avrupa İş Birliği Örgütü (European Association for Cooperation)
152	EAT	Eski Anadolu Türkçesi
153	EBU	Avrupa Yayın Birliği (European Broadcasting Union)
154	Ecz.	Eczacı
155	ed.	Edebiyat, editör
156	EEG	Beyin akım grafiği (Elektroensefalogram)
157	EFT	Elektronik fon transferi
158	EFTA	Avrupa Serbest Ticaret Bölgesi/Birliği (European Free Trade Area/Association)
159	EGO	Elektrik, Gaz, Otobüs İşletmeleri (Ankara Belediyesi)
160	EİEİ	Elektrik İşleri Etüt İdaresi
161	EKG	Kalp akım grafiği (Elektrokardiyogram)
162	ekon.	Ekonomi
163	EMG	Kas akım grafiği (Electromyographie)
164	EMK	Elektromotor kuvvet
165	Ens.	Enstitü, enstitüsü
166	EPA	Avrupa Parlamenterler Örgütü (European Parliamentary Association)
167	EPDK	Enerji Piyasası Düzenleme Kurulu
168	ERDEMİR	Ereğli Demir Çelik Fabrikaları
169	Erm.	Ermenice
170	ESA	Avrupa Uzay Ajansı (European Space Agency)
171	ESHOT	Elektrik, Su, Hava Gazı, Otobüs, Tramvay İşletmeleri (İzmir Belediyesi)
172	ET	Eski Türkçe
173	EÜ	Ege Üniversitesi
174	F	Fiyat, fiyatı
175	f.	Fiil
176	Fak.	Fakülte
177	FAO	BM Gıda ve Tarım Teşkilatı (Food and Agriculture Organization)
178	Far.	Farsça
179	FBI	ABD Federal Araştırma Bürosu (Federal Bureau of Investigation)
180	fel.	Felsefe
181	FIBA	Uluslararası Basketbol Federasyonu (Federation Internationale de Basketball Association)
182	FIDE	Uluslararası Satranç  Federasyonu (Federation Internationale des Eches)
183	FIFA	Uluslararası Futbol Federasyonu (Federation Internationale des Football Associations)
184	FILA	Uluslararası Amatör Güreş Federasyonu (Federation Internationale de Lutte Amateur)
185	FIR	Uçuş hattı düzenlemesi (Flight Information Region)
186	fil.	Filoloji, filolojisi
187	FİSKOBİRLİK	Fındık Tarım Satış Kooperatifleri Birliği
188	fiz.	Fizik
189	fizy.	Fizyoloji
190	FKB	Fizik, kimya, biyoloji
191	FM	Frekans Modülasyonu (Frequency Modulation)
192	Fr.	Fransızca
193	FÜ	Fırat Üniversitesi
194	G	Güney
195	g	Gram
196	GAP	Güneydoğu Anadolu Projesi
197	GATA	Gülhane Askerî Tıp Akademisi
198	GAZÜ	Gaziantep Üniversitesi
199	GB	Bilgisayarda bellek birimi (Gigabyte)
200	GB	Güneybatı
201	GB	Gümrük Birliği
202	GD	Güneydoğu
203	Gen.	General
204	geom.	Geometri
205	gn.	Genel
206	Gnkur.	Genelkurmay
207	GOÜ	Gazi Osmanpaşa Üniversitesi
208	Gön.	Gönderen
209	gr.	Gramer
210	Grt	Groston
211	GSM	Mobil cep telefonu (Global System for Mobile Communications)
212	GSMH	Gayrisafi millî hasıla
213	GSYH	Gayrisafi yurt içi hasıla
214	GÜ	Gazi Üniversitesi
215	H	Hicri
216	HA	Harp Akademisi
217	HABITAT	Birleşmiş Milletler İnsan Yerleşimleri Konferansı (Centre for Human Settlements)
218	HAVAŞ	Hava Alanları ve Yer Hizmetleri Genel Müdürlüğü
219	HDD	Ana bellek sürücüsü (Hard Disk Drive)
220	hek.	Hekimlik, hekim, hekimi
221	HIV	AIDS hastalığına neden olan virüs (Human Immunodeficiency Virus)
222	hl	Hektolitre
223	hlk.	Halk ağzı
224	hm	Hektometre
225	HMUK	Hukuk Muhakemeleri Usulü Kanunu
226	HO	Harp Okulu
227	Hst.	Hastane, hastanesi
228	Hs. Uzm.	Hesap Uzmanı
229	huk.	Hukuk
230	HÜ	Hacettepe Üniversitesi
231	Hv. Kuv.	Hava Kuvvetleri
232	Hv. Kuv. K.	Hava Kuvvetleri Komutanı, Komutanlığı
233	Hz.	Hazret
234	Hz.	Hizmet, hizmette
235	hzl.	Hazırlayan
236	Hz. öz.	Hizmete özel
237	IAAF	Uluslararası Amatör Atletizm Federasyonu (International Amateur Athletic Federation)
238	IAEA	Uluslararası Atom Enerjisi Ajansı (International Atomic Energy Agency)
239	IATA	Uluslararası Hava Taşımacılığı Birliği (International Air Transport Association)
240	ICAO	Uluslararası Sivil Havacılık Örgütü (International Civil Aviation Organization)
241	ICJ	Uluslararası Adalet Divanı (International Court of Justice)
242	ICRC	Uluslararası Kızılhaç Komitesi (International Committee of the Red Cross)
243	IDA	Uluslararası Kalkınma Bankası
244	IDB	İslam Kalkınma Bankası (Islamic Development Bank)
245	ILO	Uluslararası Çalışma Teşkilatı (International Labor Organization)
246	IMF	Uluslararası Para Fonu (International Monetary Fund)
247	INTERPOL	Uluslararası Cinayet Polisi Komisyonu (International Criminal Police Commission)
248	IOC	Uluslararası Olimpiyat Komitesi (International Olympic Committee)
249	IPI	Uluslararası Basın Enstitüsü (International Press Institute)
250	IRO	Uluslararası Mülteci Teşkilatı (International Refugee Organization)
251	ISBN	Uluslararası Standart Kitap Numarası (International Standard Book Number)
252	ISMN	Uluslararası Standart Müzik Numarası (International Standard Music Number)
253	ISO	Uluslararası Standartlar Örgütü (International Organization for Standardization)
254	ISSN	Uluslararası Standart Dizi Numarası (International Standard Serial Number)
255	ITO	Birleşmiş Milletler Uluslararası Ticaret Birliği (International Trade Organization)
256	İbr.	İbranice
257	İETT	İstanbul Elektrik, Tünel, Tramvay İşletmesi
258	İKÖ	İslam Konferansı Örgütü
259	İMKB	İstanbul Menkul Kıymetler Borsası
260	İng.	İngilizce
261	is.	İsim
262	İSDEMİR	İskenderun Demir Çelik Fabrikaları
263	İSKİ	İstanbul Su ve Kanalizasyon İdaresi
264	İSO	İstanbul Sanayi Odası
265	İsp.	İspanyolca
266	İŞKUR	Türkiye İş Kurumu
267	işl.	İşleyen
268	İŞOT	İstanbul Şehirler Arası Otobüs Terminali
269	İt.	İtalyanca
270	İTB	İstanbul Ticaret Borsası
271	İTO	İstanbul Ticaret Odası
272	İTÜ	İstanbul Teknik Üniversitesi
273	İÜ	İstanbul Üniversitesi
274	İZTB	İzmir Ticaret Borsası
275	İZTO	İzmir Ticaret Odası
276	J	Jandarma
277	JAL	Japon Hava Yolları (Japan Airlines)
278	Jap.	Japonca
279	jeol.	Jeoloji
280	JGK	Jandarma Genel Komutanlığı
281	K	Kuzey
282	K	Komutan, komutanlığı
283	KARDEMİR	Karabük Demir Çelik Fabrikaları
284	KB	Kuzeybatı
285	KBB	Kulak, Burun, Boğaz
286	KD	Kuzeydoğu
287	KDV	Katma değer vergisi
288	KEİ	Karadeniz Ekonomik İş Birliği
289	kg	Kilogram
290	KGB	Sovyet Gizli Haber Alma Teşkilatı (Komitet Gossudarrstvennoi Bezopastnosti)
291	KHK	Kanun hükmünde kararname
292	KİK	Kamu İhale Kurumu
293	kim.	Kimya
294	KİT	Kamu İktisadi Teşekkülü
295	KKK	Kara Kuvvetleri Komutanlığı
296	KKTC	Kuzey Kıbrıs Türk Cumhuriyeti
297	km	Kilometre
298	KMS	Kurumlar İçi Merkezî Eleme Sınavı
299	KOBİ	Küçük ve Orta Boy (Ölçekli) İşletme
300	KOİ	Kamu Ortaklığı İdaresi
301	koor.	Koordinasyon
302	Kor.	Kolordu
303	Kora.	Koramiral
304	Korg.	Korgeneral
305	KOSGEB	Küçük ve Orta Ölçekli Sanayiyi Geliştirme ve Destekleme İdaresi Başkanlığı
306	KPDS	Kamu Personeli Yabancı Dil Tespit Sınavı
307	krş.	Karşılaştırınız
308	KTÜ	Karadeniz Teknik Üniversitesi
309	Kur.	Kurmay
310	Kur. Bşk.	Kurmay Başkanı, Başkanlığı
311	KÜ	Kırıkkale Üniversitesi
312	l	Litre
313	Lat.	Latince
314	LCV	Lütfen cevap veriniz
315	LES	Lisansüstü Eğitim Giriş Sınavı
316	LİBOR	Londra bankaları gecelik faiz oranı
317	LP	Uzunçalar (Long play)
318	LPG	Sıvılaştırılmış Petrol Gazı (Liquified Petroleum Gas)
319	Ltd.	Limitet
320	M	Miladi
321	m	Metre
322	Mac.	Macarca
323	Mah.	Mahalle, mahallesi
324	Mah.	Mahkeme, mahkemesi
325	man.	Mantık
326	mat.	Matematik
327	MB	Bilgisayarda bellek birimi (megabyte)
328	MD.	Müdür, müdürlük, müdürlüğü
329	MEB	Millî Eğitim Bakanlığı
330	mec.	Mecaz
331	MGK	Millî Güvenlik Kurulu
332	mim.	Mimarlık
333	min.	Mineraloji
334	MİT	Millî İstihbarat Teşkilatı
335	MK	Medeni Kanun
336	MKE	Makine ve Kimya Endüstrisi Kurumu
337	MKS	Metre-Kilogram-Saat
338	MKYK	Merkez Karar Yönetim Kurulu
339	mm	Milimetre
340	MOSSAD	İsrail Gizli Haber Alma Örgütü
341	MÖ	Milattan önce
342	MPİ	Millî Piyango İdaresi Genel Müdürlüğü
343	MPM	Millî Prodüktivite Merkezi
344	MS	Milattan sonra
345	MSÜ	Mimar Sinan Üniversitesi
346	MTA	Maden Tetkik ve Arama Genel Müdürlüğü
347	MÜ	Marmara Üniversitesi
348	Müh.	Mühendis, mühendisi, mühendislik
349	Mür.	Müracaat
350	müz.	Müzik
351	MYK	Merkez Yönetim Kurulu
352	NASA	Amerikan Ulusal Havacılık ve Uzay Araştırmaları Merkezi (National Aeronautics and Space Administration)
353	NATO	Kuzey Atlantik Antlaşması Teşkilatı (North Atlantic Treaty Organization)
354	NOTAM	Havacılar ve denizciler için uyarı bildirimi (Notice to Airmen)
355	Nö.	Nöbet, nöbetçi
356	Nö. Sb.	Nöbetçi subayı
357	Nu.	Numara
358	OAPEC	Petrol İhraç Eden Arap Ülkeleri Örgütü
359	ODTÜ	Orta Doğu Teknik Üniversitesi
360	OECD	Ekonomik İş Birliği ve Kalkınma Teşkilatı (Organization for Economic Cooperation and Development)
361	Okt.	Okutman
362	Onb.	Onbaşı
363	OPEC	Petrol İhraç Eden Ülkeler Teşkilatı (Organization of Petroleum Exporting Countries)
364	Opr.	Operatör
365	Or.	Ordu
366	Ora.	Oramiral
367	Ord.	Ordinaryüs
368	Org.	Orgeneral
369	Ort.	Ortaklık, ortakları, ortaklığı
370	OSB	Organize Sanayi Bölgesi
371	Osm. T.	Osmanlı Türkçesi
372	OYAK	Ordu Yardımlaşma Kurumu
373	ÖİB	Özelleştirme İdaresi Başkanlığı
374	öl.	Ölüm tarihi
375	ör.	Örnek
376	ÖSS	Öğrenci Seçme Sınavı
377	ÖSYM	Öğrenci Seçme Yerleştirme Merkezi
378	ÖTV	Özel tüketim vergisi
379	ÖYK	Özelleştirme Yüksek Kurulu
380	ÖYS	Öğrenci Yerleştirme Sınavı
381	öz.	Özel
382	ped.	Pedagoji
383	PEN	Uluslararası Yazarlar Birliği (International Association of Poets, Playwrights, Editors, Essayists and Novelists)
384	PETKİM	Petrokimya Endüstrisi Genel Müdürlüğü
385	PK	Posta kutusu
386	PO	Petrol Ofisi
387	POAŞ	Petrol Ofisi Anonim Şirketi
388	Port.	Portekizce
389	Prof.	Profesör
390	psikol.	Psikoloji
391	PTT	Posta ve Telgraf Teşkilatı Genel Müdürlüğü
392	RAM	Bilgisayarda okunabilir ve yazılabilir bellek (Random Access Memory)
393	RC	Kızılhaç (Red Cross)
394	RCD	Kalkınma İçin Bölgesel İş Birliği (Regional Cooperation for Development)
395	RNA	Ribo nükleik asit
396	ROM	Bilgisayarda yalnızca okunabilir bellek (Read-Only Memory)
397	Ro-Ro	Gemiye taşıt indirme bindirme (rolon-roloff)
398	RTÜK	Radyo ve Televizyon Üst Kurulu
399	Rum.	Rumence
400	Rus.	Rusça
401	S	Sayı
402	s.	Sayfa
403	sa.	Saat
404	SALT	Stratejik Silahların Sınırlandırılması Görüşmeleri (Strategic Arms Limitation Talks)
405	SAS	Su Altı Savunma (Komandoları)
406	SAT	Su Altı Taarruz (Komandoları)
407	Sb.	Subay
408	SBF	Siyasal Bilgiler Fakültesi
409	SEK	Süt Endüstrisi Kurumu AŞ
410	SEKA	Selüloz ve Kâğıt Sanayii Kurumu
411	sf.	Sıfat
412	SHÇEK	Sosyal Hizmetler ve Çocuk Esirgeme Kurumu
413	SKT	Son kullanma tarihi
414	Sl.	Slavca
415	Sn.	Sayın
416	sn.	Saniye
417	snt.	Santral
418	Sok.	Sokak
419	sos.	Sosyoloji
420	SOS	Uluslararası yardım isteme uyarısı (Save Our Souls)
421	sp.	Spor
422	SPK	Sermaye Piyasası Kurulu
423	SSCB	Sovyet Sosyalist Cumhuriyetleri Birliği
424	SSK	Sosyal Sigortalar Kurumu
425	STK	Sivil Toplum Kuruluşu
426	STÖ	Sivil Toplum Örgütü
427	SÜ	Selçuk Üniversitesi
428	Ş	Şirket
429	Şb.	Şube
430	T.	Türkçe
431	t	Ton
432	TAEK	Türkiye Atom Enerjisi Kurumu
433	TAI	Türk Havacılık Sanayii (Turkish Aerospace Industry)
434	TAO	Türk Anonim Ortaklığı
435	tar.	Tarih
436	TARİŞ	Tarım Satış Kooperatifleri Birliği
437	TASS	Sovyetler Birliği Telgraf Ajansı (Telegrafnoe Agentstvo Sovetskogo Soyuza)
438	TAŞ	Türk Anonim Şirketi
439	Tb.	Tabur
440	TBB	Türkiye Barolar Birliği
441	TBMM	Türkiye Büyük Millet Meclisi
442	T.C.	Türkiye Cumhuriyeti
